"id","code","name","definition"
hc_base.subs_code_115482007,"115482007","Eosinophilic cationic protein","Eosinophilic cationic protein (substance)"
hc_base.subs_code_115481000,"115481000","Eosinophilic major basic protein","Eosinophilic major basic protein (substance)"
hc_base.subs_code_102670005,"102670005","Lactoferrin","Lactoferrin (substance)"
hc_base.subs_code_13477003,"13477003","Lysozyme","Lysozyme (substance)"
hc_base.subs_code_115490007,"115490007","Myelin associate glycoprotein","Myelin associate glycoprotein (substance)"
hc_base.subs_code_259723008,"259723008","Myeloperoxidase","Myeloperoxidase (substance)"
hc_base.subs_code_79396005,"79396005","Purine-nucleoside phosphorylase","Purine-nucleoside phosphorylase (substance)"
hc_base.subs_code_259599001,"259599001","Apolipoprotein","Apolipoprotein (substance)"
hc_base.subs_code_76672009,"76672009","Cardiac lipoprotein","Cardiac lipoprotein (substance)"
hc_base.subs_code_707098006,"707098006","Cholesterol in lipoprotein a","Cholesterol in lipoprotein a (substance)"
hc_base.subs_code_17534000,"17534000","Chylomicrons","Chylomicrons (substance)"
hc_base.subs_code_9422000,"9422000","High density lipoprotein","High density lipoprotein (substance)"
hc_base.subs_code_259568002,"259568002","Intermediate density lipoprotein","Intermediate density lipoprotein (substance)"
hc_base.subs_code_116661000,"116661000","Lipoprotein (a)","Lipoprotein (a) (substance)"
hc_base.subs_code_707106000,"707106000","Lipoprotein midband A","Lipoprotein midband A (substance)"
hc_base.subs_code_707107009,"707107009","Lipoprotein midband B","Lipoprotein midband B (substance)"
hc_base.subs_code_707108004,"707108004","Lipoprotein midband C","Lipoprotein midband C (substance)"
hc_base.subs_code_78851003,"78851003","Lipoprotein-X","Lipoprotein-X (substance)"
hc_base.subs_code_22244007,"22244007","Low density lipoprotein","Low density lipoprotein (substance)"
hc_base.subs_code_79612000,"79612000","Myelin","Myelin (substance)"
hc_base.subs_code_312260007,"312260007","Non-HDL cholesterol","Non-high density lipoprotein cholesterol (substance)"
hc_base.subs_code_103244006,"103244006","Platelet factor 3","Platelet factor 3 (substance)"
hc_base.subs_code_710750000,"710750000","Remnant lipoprotein","Remnant lipoprotein (substance)"
hc_base.subs_code_422248006,"422248006","Surfactant","Surfactant (substance)"
hc_base.subs_code_77499008,"77499008","Very high density lipoprotein","Very high density lipoprotein (substance)"
hc_base.subs_code_56516007,"56516007","Very low density lipoprotein","Very low density lipoprotein (substance)"
hc_base.subs_code_3771001,"3771001","Neuromelanin","Neuromelanin (substance)"
hc_base.subs_code_710037007,"710037007","Beta-lactoglobulin","Beta-lactoglobulin (substance)"
hc_base.subs_code_50593009,"50593009","Casein","Casein (substance)"
hc_base.subs_code_102697003,"102697003","Lactalbumin","Lactalbumin (substance)"
hc_base.subs_code_102692009,"102692009","Acid mucopolysaccharide","Acid mucopolysaccharide (substance)"
hc_base.subs_code_4104007,"4104007","Chondroitin sulfate","Chondroitin sulfate (substance)"
hc_base.subs_code_259442006,"259442006","Heparan sulfate","Heparan sulfate (substance)"
hc_base.subs_code_372877000,"372877000","Heparin","Heparin (substance)"
hc_base.subs_code_38218009,"38218009","Hyaluronic acid","Hyaluronic acid (substance)"
hc_base.subs_code_18128003,"18128003","Keratan sulfate","Keratan sulfate (substance)"
hc_base.subs_code_79375003,"79375003","Proteoglycan","Proteoglycan (substance)"
hc_base.subs_code_77963009,"77963009","Central myelin protein","Central myelin protein (substance)"
hc_base.subs_code_24675006,"24675006","Glial fibrillary acidic protein","Glial fibrillary acidic protein (substance)"
hc_base.subs_code_102743007,"102743007","Myelin basic protein","Myelin basic protein (substance)"
hc_base.subs_code_111999006,"111999006","Peripheral myelin protein","Peripheral myelin protein (substance)"
hc_base.subs_code_405827002,"405827002","Breast cancer type 1 susceptibility protein","Breast cancer type 1 susceptibility protein (substance)"
hc_base.subs_code_405828007,"405828007","Breast cancer type 2 susceptibility protein","Breast cancer type 2 susceptibility protein (substance)"
hc_base.subs_code_26721005,"26721005","Cellular proto-oncogene MYC","Cellular proto-oncogene MYC (substance)"
hc_base.subs_code_48551004,"48551004","Fusion oncogene protein","Fusion oncogene protein (substance)"
hc_base.subs_code_56564003,"56564003","Fusion protein BCR-ABL","Fusion protein BCR-ABL (substance)"
hc_base.subs_code_62775003,"62775003","Fusion protein GAG-ONC","Fusion protein GAG-ONC (substance)"
hc_base.subs_code_70623008,"70623008","Fusion protein GAG-POL","Fusion protein GAG-POL (substance)"
hc_base.subs_code_63652009,"63652009","Oncogene protein C-ABL","Oncogene protein bcl-1 (substance)"
hc_base.subs_code_91245003,"91245003","Oncogene protein C-MYC","Oncogene protein bcl-2 (substance)"
hc_base.subs_code_71288000,"71288000","Oncogene protein GP120, V-FMS","Oncogene protein C-ABL (substance)"
hc_base.subs_code_112213001,"112213001","Oncogene protein GP140, V-FMS","Oncogene protein c-ets (substance)"
hc_base.subs_code_75277002,"75277002","Oncogene protein H-RAS","Oncogene protein c-fes (substance)"
hc_base.subs_code_44368005,"44368005","Oncogene protein HER-2/neu","Oncogene protein c-fms (substance)"
hc_base.subs_code_85460009,"85460009","Oncogene protein K-RAS","Oncogene protein c-fos (substance)"
hc_base.subs_code_78242001,"78242001","Oncogene protein KS3","Oncogene protein C-MYC (substance)"
hc_base.subs_code_62902008,"62902008","Oncogene protein L-MYC","Oncogene protein fins (substance)"
hc_base.subs_code_54375002,"54375002","Oncogene protein LYL","Oncogene protein GP120, V-FMS (substance)"
hc_base.subs_code_83696003,"83696003","Oncogene protein LYL1","Oncogene protein GP140, V-FMS (substance)"
hc_base.subs_code_88426003,"88426003","Oncogene protein N-MYC","Oncogene protein H-RAS (substance)"
hc_base.subs_code_44225006,"44225006","Oncogene protein N-RAS","Oncogene protein HER-2/neu (substance)"
hc_base.subs_code_64563009,"64563009","Oncogene protein P190, BCR-ABL","Oncogene protein int-2 (substance)"
hc_base.subs_code_112214007,"112214007","Oncogene protein P21, RAS","Oncogene protein K-RAS (substance)"
hc_base.subs_code_8485009,"8485009","Oncogene protein P210, BCR-ABL","Oncogene protein KS3 (substance)"
hc_base.subs_code_20993003,"20993003","Oncogene protein P53","Oncogene protein L-MYC (substance)"
hc_base.subs_code_4732006,"4732006","Oncogene protein P55, V-MYC","Oncogene protein LYL (substance)"
